level,surface,reading,meaning_hint_ko,example_sentence,example_translation_ko,note_ko
N5,水,みず,물,朝、水を飲みます。,아침에 물을 마십니다.,
N5,学校,がっこう,학교,毎日学校へ行きます。,매일 학교에 갑니다.,
N5,先生,せんせい,선생님,先生はやさしいです。,선생님은 친절합니다.,
N5,友達,ともだち,친구,友達と話します。,친구와 이야기합니다.,
N5,食べる,たべる,먹다,ご飯を食べます。,밥을 먹습니다.,동사(1류)
N5,飲む,のむ,마시다,お茶を飲みます。,차를 마십니다.,동사(1류)
N5,見る,みる,보다,映画を見ます。,영화를 봅니다.,동사(2류)
N5,行く,いく,가다,駅へ行きます。,역에 갑니다.,동사(1류)
N5,来る,くる,오다,友達が来ます。,친구가 옵니다.,불규칙동사
N5,大きい,おおきい,크다,この家は大きいです。,이 집은 큽니다.,
N5,小さい,ちいさい,작다,この猫は小さいです。,이 고양이는 작습니다.,
N5,新しい,あたらしい,새롭다,新しい本を買いました。,새 책을 샀습니다.,
N5,古い,ふるい,"오래되다,낡다",この時計は古いです。,이 시계는 오래되었습니다.,
N5,高い,たかい,"비싸다,높다",このかばんは高いです。,이 가방은 비쌉니다.,
N5,安い,やすい,싸다,この店は安いです。,이 가게는 쌉니다.,
N5,学生,がくせい,학생,私は学生です。,저는 학생입니다.,
N5,本,ほん,책,図書館で本を読みます。,도서관에서 책을 읽습니다.,
N5,車,くるま,자동차,車で会社へ行きます。,자동차로 회사에 갑니다.,
N5,電車,でんしゃ,전철,電車に乗ります。,전철을 탑니다.,
N5,時間,じかん,시간,時間がありません。,시간이 없습니다.,
N5,今日,きょう,오늘,今日は忙しいです。,오늘은 바쁩니다.,
N5,明日,あした,내일,明日は休みです。,내일은 휴일입니다.,
N5,昨日,きのう,어제,昨日は雨でした。,어제는 비가 왔습니다.,
N5,朝,あさ,아침,朝早く起きます。,아침 일찍 일어납니다.,
N5,夜,よる,밤,夜遅く寝ます。,밤늦게 잡니다.,
N5,家族,かぞく,가족,家族と旅行します。,가족과 여행합니다.,
N5,天気,てんき,날씨,今日は天気がいいです。,오늘은 날씨가 좋습니다.,
N5,元気,げんき,"건강함,활기참",元気ですか。,잘 지내세요?,な형용사
N5,好き,すき,좋아함,音楽が好きです。,음악을 좋아합니다.,な형용사
N5,忙しい,いそがしい,바쁘다,最近忙しいです。,요즘 바쁩니다.,
